date,open,high,low,close,adj_close,volume,log_return_1d
2018-04-02,9.99,10.14,9.51,9.53,9.53,64824600,-0.053128
2018-04-03,9.63,9.77,9.3,9.55,9.55,54891600,0.002096
2018-04-04,9.08,9.81,9.04,9.77,9.77,67356900,0.022775
2018-04-05,10.05,10.2,9.91,10.02,10.02,65758800,0.025267
2018-04-06,9.83,10.1,9.5,9.61,9.61,51087100,-0.041779
2018-04-09,9.75,9.84,9.52,9.53,9.53,38382600,-0.00836
2018-04-10,9.75,10.04,9.71,9.98,9.98,42849200,0.046138
2018-04-11,9.87,10.03,9.79,9.82,9.82,29169300,-0.016162
2018-04-12,9.98,10.1,9.82,10.08,10.08,47784400,0.026132
2018-04-13,10.2,10.22,9.88,9.93,9.93,38935700,-0.014993
2018-04-16,10.0,10.17,9.9,10.09,10.09,28875100,0.015984
2018-04-17,10.28,10.53,10.2,10.52,10.52,45360300,0.041733
2018-04-18,10.51,10.65,10.33,10.36,10.36,42449600,-0.015326
2018-04-19,10.18,10.33,9.99,10.11,10.11,57841600,-0.024427
2018-04-20,10.05,10.14,9.95,9.99,9.99,39011900,-0.01194
2018-04-23,10.09,10.19,9.97,10.04,10.04,42971300,0.004993
2018-04-24,10.19,10.35,9.95,10.09,10.09,44992200,0.004968
2018-04-25,10.06,10.09,9.56,9.71,9.71,90578000,-0.038389
2018-04-26,10.87,11.19,10.61,11.04,11.04,145284100,0.128369
2018-04-27,11.2,11.36,11.02,11.11,11.11,74347800,0.006321
2018-04-30,11.06,11.14,10.87,10.88,10.88,50608800,-0.020919
2018-05-01,10.83,11.15,10.77,11.13,11.13,43441600,0.022718
2018-05-02,11.1,11.16,10.97,10.97,10.97,29267300,-0.01448
2018-05-03,10.9,11.06,10.83,10.93,10.93,33310600,-0.003653
2018-05-04,10.88,11.29,10.87,11.28,11.28,47884900,0.03152
2018-05-07,11.32,11.68,11.3,11.59,11.59,54001700,0.027111
2018-05-08,11.49,11.66,11.4,11.61,11.61,35218400,0.001724
2018-05-09,11.65,11.98,11.57,11.95,11.95,49605700,0.028864
2018-05-10,11.98,12.18,11.95,12.13,12.13,49744500,0.01495
2018-05-11,11.89,12.03,11.69,11.95,11.95,43863700,-0.01495
2018-05-14,12.14,12.36,12.11,12.23,12.23,50263800,0.023161
2018-05-15,12.18,12.46,12.16,12.45,12.45,44183200,0.017829
2018-05-16,12.64,12.98,12.62,12.82,12.82,73364000,0.029286
2018-05-17,12.79,12.9,12.66,12.82,12.82,38692500,0.0
2018-05-18,13.06,13.26,12.91,13.0,13.0,54063400,0.013943
2018-05-21,13.25,13.31,12.88,12.99,12.99,49714200,-0.00077
2018-05-22,13.0,13.14,12.71,12.98,12.98,43267000,-0.00077
2018-05-23,12.93,13.18,12.9,13.1,13.1,44517800,0.009203
