,forecast,lower,upper
2024-12-31,251.98627158899265,248.93690623940319,255.03563693858212
2025-01-01,252.0495241779853,247.73707034396529,256.3619780120053
2025-01-02,252.11277676697793,246.83112105064893,257.3944324833069
2025-01-03,252.17602935597057,246.07729865679164,258.2747600551495
2025-01-06,252.2392819449632,245.42069373504876,259.05787015487766
2025-01-07,252.30253453395585,244.833145388138,259.7719236797737
2025-01-08,252.3657871229485,244.29792475135721,260.43364949453974
2025-01-09,252.42903971194113,243.80413204390112,261.05394737998114
2025-01-10,252.49229230093377,243.34419625216537,261.64038834970216
2025-01-13,252.5555448899264,242.9126049672281,262.1984848126247
2025-01-14,252.61879747891905,242.50519676561984,262.7323981922182
2025-01-15,252.6820500679117,242.1187386352537,263.2453615005697
2025-01-16,252.74530265690433,241.7506595313363,263.7399457824723
2025-01-17,252.80855524589697,241.39887486063301,264.2182356311609
2025-01-20,252.8718078348896,241.06166661942763,264.6819490503516
2025-01-21,252.93506042388225,240.73759902552436,265.1325218222401
2025-01-22,252.9983130128749,240.425457585419,265.5711684403308
2025-01-23,253.06156560186753,240.1242040998075,265.99892710392754
2025-01-24,253.12481819086017,239.8329427900651,266.41669359165525
2025-01-27,253.1880707798528,239.55089436002388,266.8252471996817
2025-01-28,253.25132336884545,239.27737583277622,267.2252709049147
2025-01-29,253.3145759578381,239.01178466466416,267.617367251012
2025-01-30,253.37782854683073,238.75358607717203,268.0020710164894
2025-01-31,253.44108113582337,238.50230284418768,268.37985942745905
2025-02-03,253.504333724816,238.25750697686865,268.75116047276333
2025-02-04,253.56758631380865,238.01881289217826,269.116359735439
2025-02-05,253.6308389028013,237.78587175381432,269.47580605178825
2025-02-06,253.69409149179393,237.55836674861138,269.8298162349765
2025-02-07,253.75734408078657,237.33600911608195,270.17867904549115
2025-02-10,253.8205966697792,237.11853478933142,270.522658550227
