,forecast,lower,upper
2024-12-31,122.46945095190502,118.54633184624969,126.39257005756035
2025-01-01,122.49889990381004,116.95077165778727,128.0470281498328
2025-01-02,122.52834885571507,115.73330724057587,129.32339047085426
2025-01-03,122.55779780762009,114.71155959630943,130.40403601893075
2025-01-06,122.58724675952512,113.81488575545163,131.3596077635986
2025-01-07,122.61669571143014,113.0070557024107,132.22633572044958
2025-01-08,122.64614466333516,112.26654714608503,133.0257421805853
2025-01-09,122.67559361524019,111.57933712319465,133.77185010728573
2025-01-10,122.70504256714521,110.93568525017923,134.4743998841112
2025-01-13,122.73449151905024,110.32849961305664,135.14048342504384
2025-01-14,122.76394047095526,109.75242638962189,135.77545455228864
2025-01-15,122.79338942286029,109.20330619258188,136.38347265313868
2025-01-16,122.82283837476531,108.6778312795726,136.96784546995804
2025-01-17,122.85228732667034,108.1733197458011,137.53125490753956
2025-01-20,122.88173627857536,107.68756131718413,138.0759112399666
2025-01-21,122.91118523048038,107.21870880785907,138.6036616531017
2025-01-22,122.94063418238541,106.7651997278898,139.116068636881
2025-01-23,122.97008313429043,106.32569839622211,139.61446787235874
2025-01-24,122.99953208619546,105.89905236117022,140.1000118112207
2025-01-27,123.02898103810048,105.48425902995349,140.5737030462475
2025-01-28,123.05842999000551,105.0804397280125,141.03642025199852
2025-01-29,123.08787894191053,104.68681926108037,141.4889386227407
2025-01-30,123.11732789381556,104.30270961720333,141.93194617042778
2025-01-31,123.14677684572058,103.9274968276817,142.36605686375947
2025-02-03,123.1762257976256,103.56063026934896,142.79182132590225
2025-02-04,123.20567474953063,103.20161387564544,143.20973562341584
2025-02-05,123.23512370143565,102.84999885601803,143.62024854685328
2025-02-06,123.26457265334068,102.50537761884041,144.02376768784094
2025-02-07,123.2940216052457,102.16737866327364,144.42066454721777
2025-02-10,123.32347055715073,101.83566225768155,144.8112788566199
