,forecast,lower,upper
2024-12-31,142.22791832648377,139.943433272755,144.51240338021256
2025-01-01,142.25411565296756,139.02336590694566,145.48486539898946
2025-01-02,142.28031297945134,138.32346879726134,146.23715716164133
2025-01-03,142.30651030593512,137.73754019847755,146.8754804133927
2025-01-06,142.3327076324189,137.22444375869907,147.44097150613874
2025-01-07,142.35890495890268,136.76308225225253,147.95472766555284
2025-01-08,142.38510228538647,136.34092295937606,148.42928161139687
2025-01-09,142.41129961187025,135.94980011982648,148.87279910391402
2025-01-10,142.43749693835403,135.58404177716764,149.29095209954042
2025-01-13,142.4636942648378,135.23951821444268,149.68787031523294
2025-01-14,142.4898915913216,134.9131118289283,150.0666713537149
2025-01-15,142.51608891780538,134.6024005534254,150.42977728218534
2025-01-16,142.54228624428916,134.3054582450389,150.77911424353942
2025-01-17,142.56848357077294,134.02072319451395,151.11624394703193
2025-01-20,142.59468089725672,133.74690832950535,151.4424534650081
2025-01-21,142.6208782237405,133.48293800882533,151.75881843865568
2025-01-22,142.6470755502243,133.22790237355565,152.06624872689292
2025-01-23,142.67327287670807,132.9810236386424,152.36552211477374
2025-01-24,142.69947020319185,132.74163071595896,152.65730969042474
2025-01-27,142.72566752967563,132.50913978223596,152.9421952771153
2025-01-28,142.75186485615941,132.28303917345195,153.22069053886688
2025-01-29,142.7780621826432,132.0628774835526,153.4932468817338
2025-01-30,142.80425950912698,131.84825407391767,153.76026494433628
2025-01-31,142.83045683561076,131.63881142231045,154.02210224891107
2025-02-03,142.85665416209454,131.43422889345058,154.2790794307385
2025-02-04,142.88285148857832,131.23421762110416,154.53148535605249
2025-02-05,142.9090488150621,131.03851626849215,154.77958136163207
2025-02-06,142.9352461415459,130.84688748952507,155.0236047935667
2025-02-07,142.96144346802967,130.6591149542646,155.26377198179475
2025-02-10,142.98764079451345,130.47500083240683,155.50028075662007
