,forecast,lower,upper
2024-12-31,165.08069494994638,163.03791527665027,167.1234746232425
2025-01-01,165.11289789989274,162.22397118097732,168.00182461880817
2025-01-02,165.1451008498391,161.6069026670213,168.68329903265692
2025-01-03,165.17730379978548,161.0917444531933,169.26286314637767
2025-01-06,165.20950674973184,160.64171253718695,169.77730096227674
2025-01-07,165.2417096996782,160.23794184317345,170.24547755618298
2025-01-08,165.27391264962458,159.86922565078532,170.67859964846383
2025-01-09,165.30611559957094,159.5282621617401,171.0839690374018
2025-01-10,165.3383185495173,159.209979529629,171.4666575694056
2025-01-13,165.37052149946368,158.91068497395335,171.830358024974
2025-01-14,165.40272444941004,158.6275907437221,172.177858155098
2025-01-15,165.4349273993564,158.35853103372082,172.511323764992
2025-01-16,165.46713034930278,158.1017834927581,172.83247720584745
2025-01-17,165.49933329924914,157.85595164510914,173.14271495338915
2025-01-20,165.5315362491955,157.6198845945487,173.44318790384233
2025-01-21,165.56373919914188,157.39262050595747,173.7348578923263
2025-01-22,165.59594214908824,157.17334578622368,174.0185385119528
2025-01-23,165.6281450990346,156.96136494228833,174.2949252557809
2025-01-24,165.66034804898098,156.75607788916426,174.5646182087977
2025-01-27,165.69255099892735,156.55696257383755,174.82813942401714
2025-01-28,165.7247539488737,156.36356146787716,175.08594642987026
2025-01-29,165.75695689882008,156.17547092534508,175.33844287229508
2025-01-30,165.78915984876645,155.99233269639055,175.58598700114234
2025-01-31,165.8213627987128,155.81382708570328,175.82889851172234
2025-02-03,165.85356574865918,155.6396673821787,176.06746411513967
2025-02-04,165.88576869860555,155.46959528249803,176.30194211471306
2025-02-05,165.9179716485519,155.30337710009852,176.5325661970053
2025-02-06,165.95017459849828,155.14080060081977,176.75954859617678
2025-02-07,165.98237754844465,154.98167234308076,176.98308275380853
2025-02-10,166.014580498391,154.82581542761793,177.2033455691641
