,forecast,lower,upper
2024-12-31,586.5854035877738,580.9493210715342,592.2214861040135
2025-01-01,586.7149961755476,578.7443718424275,594.6856205086677
2025-01-02,586.8445887633214,577.0826074895436,596.6065700370992
2025-01-03,586.9741813510952,575.7020163186158,598.2463463835746
2025-01-06,587.103773938869,574.5011103057591,599.706437571979
2025-01-07,587.2333665266428,573.4278402136341,601.0388928396516
2025-01-08,587.3629591144166,572.4512864078073,602.274631821026
2025-01-09,587.4925517021904,571.5513030359504,603.4338003684305
2025-01-10,587.6221442899642,570.7138967412452,604.5303918386833
2025-01-13,587.751736877738,569.9288790457676,605.5745947097084
2025-01-14,587.8813294655118,569.1885584716626,606.574100459361
2025-01-15,588.0109220532856,568.48695950573,607.5348846008412
2025-01-16,588.1405146410594,567.8193301360111,608.4616991461078
2025-01-17,588.2701072288332,567.1818174494775,609.358397008189
2025-01-20,588.399699816607,566.57124609336,610.2281535398541
2025-01-21,588.5292924043808,565.984962339422,611.0736224693396
2025-01-22,588.6588849921546,565.4207214630014,611.8970485213079
2025-01-23,588.7884775799284,564.8766045805683,612.7003505792886
2025-01-24,588.9180701677022,564.350956041957,613.4851842934474
2025-01-27,589.047662755476,563.842335489256,614.2529900216961
2025-01-28,589.1772553432498,563.3494805895643,615.0050300969353
2025-01-29,589.3068479310236,562.8712776731877,615.7424181888596
2025-01-30,589.4364405187974,562.4067383194234,616.4661427181715
2025-01-31,589.5660331065712,561.9549804805538,617.1770857325887
2025-02-03,589.695625694345,561.5152131131466,617.8760382755435
2025-02-04,589.8252182821188,561.0867235515935,618.5637130126441
2025-02-05,589.9548108698926,560.6688670485593,619.240754691226
2025-02-06,590.0844034576664,560.2610580444477,619.9077488708851
2025-02-07,590.2139960454402,559.8627628288801,620.5652292620003
2025-02-10,590.343588633214,559.4734933321645,621.2136839342636
