,forecast,lower,upper
2024-12-31,417.5205155530779,407.4932828333848,427.54774827277106
2025-01-01,417.63102710615584,403.4503786008945,431.8116756114172
2025-01-02,417.74153865923375,400.37386212940817,435.10921518905934
2025-01-03,417.85205021231167,397.79758477292535,437.906515651698
2025-01-06,417.9625617653896,395.5409877779456,440.3841357528336
2025-01-07,418.0730733184675,393.5114696230793,442.6346770138557
2025-01-08,418.1835848715454,391.6540207570675,444.7131489860233
2025-01-09,418.2940964246233,389.9327994141007,446.6553934351459
2025-01-10,418.40460797770123,388.3229098186218,448.4863061367807
2025-01-13,418.51511953077915,386.8062255079841,450.2240135535742
2025-01-14,418.62563108385706,385.36906246705996,451.88219970065416
2025-01-15,418.73614263693497,384.0007895772838,453.47149569658615
2025-01-16,418.8466541900129,382.69295246814903,455.00035591187674
2025-01-17,418.9571657430908,381.4386963685496,456.475635117632
2025-01-20,419.0676772961687,380.23237196425106,457.90298262808636
2025-01-21,419.1781888492466,379.06925797047404,459.2871197280192
2025-01-22,419.28870040232454,377.94536076638025,460.6320400382688
2025-01-23,419.39921195540245,376.8572664396185,461.9411574711864
2025-01-24,419.50972350848036,375.80202939997343,463.2174176169873
2025-01-27,419.6202350615583,374.77708708667035,464.4633830364462
2025-01-28,419.7307466146362,373.7801936657044,465.68129956356796
2025-01-29,419.8412581677141,372.8093677918482,466.87314854358
2025-01-30,419.951769720792,371.86285095209485,468.0406884894892
2025-01-31,420.0622812738699,370.93907388309344,469.1854886646464
2025-02-03,420.17279282694784,370.03662922848207,470.3089564254136
2025-02-04,420.28330438002575,369.15424907497436,471.41235968507715
2025-02-05,420.39381593310367,368.2907863436269,472.49684552258043
2025-02-06,420.5043274861816,367.44519925722574,473.5634557151374
2025-02-07,420.6148390392595,366.6165382842203,474.61313979429866
2025-02-10,420.7253505923374,365.80393509303923,475.6467660916356
