Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,9.700000,9.700000,9.900000,9.680000,9.790000,18748700
2010-01-05,9.710000,9.710000,9.900000,9.680000,9.710000,22145700
2010-01-06,9.570000,9.570000,9.760000,9.550000,9.680000,18643400
2010-01-07,9.470000,9.470000,9.550000,9.180000,9.510000,26806800
2010-01-08,9.430000,9.430000,9.470000,9.290000,9.370000,13752800
2010-01-11,9.140000,9.140000,9.440000,9.080000,9.380000,23700100
2010-01-12,8.650000,8.650000,8.920000,8.520000,8.890000,33387100
2010-01-13,9.150000,9.150000,9.200000,8.550000,8.710000,32741900
2010-01-14,9.000000,9.000000,9.260000,8.920000,9.180000,22556600
2010-01-15,8.840000,8.840000,9.190000,8.800000,9.130000,34336600
2010-01-19,9.010000,9.010000,9.210000,8.840000,8.840000,24866200
2010-01-20,8.870000,8.870000,9.000000,8.760000,8.980000,22813600
2010-01-21,8.990000,8.990000,9.100000,8.770000,9.010000,37888700
2010-01-22,7.880000,7.880000,8.560000,7.820000,8.550000,69136400
2010-01-25,8.070000,8.070000,8.140000,7.930000,8.010000,20560000
2010-01-26,8.090000,8.090000,8.190000,7.930000,8.030000,20946600
2010-01-27,8.190000,8.190000,8.220000,7.910000,8.030000,26832700
2010-01-28,7.880000,7.880000,8.250000,7.710000,8.240000,32084100
2010-01-29,7.460000,7.460000,8.100000,7.300000,8.010000,37457700
2010-02-01,7.980000,7.980000,7.980000,7.530000,7.610000,25476400
2010-02-02,7.910000,7.910000,7.960000,7.720000,7.740000,21110900
2010-02-03,7.810000,7.810000,7.960000,7.760000,7.830000,14521900
2010-02-04,7.190000,7.190000,7.650000,7.100000,7.640000,33172200
2010-02-05,7.350000,7.350000,7.370000,6.980000,7.130000,28808300
2010-02-08,7.420000,7.420000,7.620000,7.280000,7.380000,24304200
2010-02-09,7.540000,7.540000,7.640000,7.420000,7.590000,19978100
2010-02-10,7.640000,7.640000,7.710000,7.450000,7.470000,17269400
