Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,0.423884,0.462250,0.465500,0.452750,0.462750,800204000
2010-01-05,0.430073,0.469000,0.474000,0.460500,0.460500,728648000
2010-01-06,0.432824,0.472000,0.473000,0.464250,0.468750,649168000
2010-01-07,0.424342,0.462750,0.471500,0.459250,0.469500,547792000
2010-01-08,0.425259,0.463750,0.467000,0.456250,0.459000,478168000
2010-01-11,0.419299,0.457250,0.468250,0.450750,0.466250,556612000
2010-01-12,0.405085,0.441750,0.452250,0.432250,0.450500,627432000
2010-01-13,0.410587,0.447750,0.449250,0.427500,0.444750,508868000
2010-01-14,0.404168,0.440750,0.445500,0.433250,0.442250,608524000
2010-01-15,0.392247,0.427750,0.441250,0.422000,0.437500,818192000
2010-01-19,0.399583,0.435750,0.438500,0.423250,0.424500,545328000
2010-01-20,0.397978,0.434000,0.435750,0.424500,0.430250,719728000
2010-01-21,0.390872,0.426250,0.441500,0.422250,0.433750,608632000
2010-01-22,0.377346,0.411500,0.429000,0.409000,0.421250,1067916000
2010-01-25,0.383765,0.418500,0.426500,0.415250,0.418250,643676000
2010-01-26,0.371615,0.405250,0.419250,0.405000,0.416500,714636000
2010-01-27,0.381702,0.416250,0.417750,0.400500,0.405000,812504000
2010-01-28,0.368864,0.402250,0.421000,0.396500,0.419500,687764000
2010-01-29,0.352816,0.384750,0.411250,0.378750,0.406750,774700000
2010-02-01,0.379868,0.414250,0.415000,0.383000,0.386250,949832000
2010-02-02,0.383765,0.418500,0.423750,0.411500,0.412750,849812000
2010-02-03,0.386974,0.422000,0.423750,0.412750,0.414750,562296000
2010-02-04,0.364508,0.397500,0.418250,0.393000,0.418250,783480000
2010-02-05,0.371844,0.405500,0.406500,0.390000,0.397000,604856000
2010-02-08,0.371156,0.404750,0.414500,0.396750,0.404250,445160000
2010-02-09,0.368176,0.401500,0.413250,0.397500,0.411250,930144000
2010-02-10,0.375283,0.409250,0.413000,0.401250,0.404000,535828000
2010-02-11,0.392476,0.428000,0.432500,0.412750,0.415750,695980000
