Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,85.768433,113.330002,113.389999,111.510002,112.370003,118944600
2010-01-05,85.995468,113.629997,113.680000,112.849998,113.260002,111579900
2010-01-06,86.056068,113.709999,113.989998,113.430000,113.519997,116074400
2010-01-07,86.419296,114.190002,114.330002,113.180000,113.500000,131091100
2010-01-08,86.706886,114.570000,114.620003,113.660004,113.889999,126402800
2010-01-11,86.827972,114.730003,115.129997,114.239998,115.080002,106375700
2010-01-12,86.018204,113.660004,114.209999,113.220001,113.970001,163333500
2010-01-13,86.744743,114.620003,114.940002,113.370003,113.949997,161822000
2010-01-14,86.979309,114.930000,115.139999,114.419998,114.489998,115718800
2010-01-15,86.003052,113.639999,114.839996,113.199997,114.730003,212283100
2010-01-19,87.077713,115.059998,115.129997,113.589996,113.620003,139172700
2010-01-20,86.192268,113.889999,114.449997,112.980003,114.279999,216490200
2010-01-21,84.534828,111.699997,114.269997,111.559998,113.919998,344859600
2010-01-22,82.650429,109.209999,111.739998,109.089996,111.199997,345942400
2010-01-25,83.074226,109.769997,110.410004,109.410004,110.209999,186937500
2010-01-26,82.726089,109.309998,110.470001,109.040001,109.339996,211168800
2010-01-27,83.119644,109.830002,110.080002,108.330002,109.169998,271863600
2010-01-28,82.166077,108.570000,110.250000,107.910004,110.190002,316104000
2010-01-29,81.273041,107.389999,109.800003,107.220001,109.040001,310677600
2010-02-01,82.536873,109.059998,109.070000,107.500000,108.150002,187865000
2010-02-02,83.535866,110.379997,110.589996,108.879997,109.260002,216327900
2010-02-03,83.119644,109.830002,110.480003,109.510002,109.879997,172730700
2010-02-04,80.554070,106.440002,109.029999,106.419998,108.980003,356715700
2010-02-05,80.720573,106.660004,106.879997,104.580002,106.559998,493585800
2010-02-08,80.137848,105.889999,107.330002,105.809998,106.739998,224166900
2010-02-09,81.144363,107.220001,108.150002,106.269997,107.129997,337820500
2010-02-10,80.985466,107.010002,107.599998,106.110001,107.050003,240511500
2010-02-11,81.833069,108.129997,108.250000,106.250000,106.870003,223591600
2010-02-12,81.764961,108.040001,108.099998,106.510002,106.989998,304622100
2010-02-16,83.051514,109.739998,109.849998,107.820000,108.860001,159317500
2010-02-17,83.445045,110.260002,110.410004,109.739998,110.269997,168845100
2010-02-18,83.936974,110.910004,111.139999,110.040001,110.080002,193708600
2010-02-19,84.111053,111.139999,111.570000,110.360001,110.620003,222684900
2010-02-22,84.126183,111.160004,111.580002,110.830002,111.550003,132346900
