Date,Adj Close,Close,High,Low,Open,Volume
2010-06-29,1.592667,1.592667,1.666667,1.169333,1.266667,281494500
2010-06-30,1.588667,1.588667,2.028000,1.553333,1.719333,257806500
2010-07-01,1.464000,1.464000,1.728000,1.351333,1.666667,123282000
2010-07-02,1.280000,1.280000,1.540000,1.247333,1.533333,77097000
2010-07-06,1.074000,1.074000,1.333333,1.055333,1.333333,103003500
2010-07-07,1.053333,1.053333,1.108667,0.998667,1.093333,103825500
2010-07-08,1.164000,1.164000,1.168000,1.038000,1.076000,115671000
2010-07-09,1.160000,1.160000,1.193333,1.103333,1.172000,60759000
2010-07-12,1.136667,1.136667,1.204667,1.133333,1.196667,33037500
2010-07-13,1.209333,1.209333,1.242667,1.126667,1.159333,40201500
2010-07-14,1.322667,1.322667,1.343333,1.184000,1.196000,62928000
2010-07-15,1.326000,1.326000,1.433333,1.266667,1.329333,56097000
2010-07-16,1.376000,1.376000,1.420000,1.336667,1.380000,39319500
2010-07-19,1.460667,1.460667,1.483333,1.394667,1.424667,37297500
2010-07-20,1.353333,1.353333,1.456667,1.336667,1.456667,27379500
2010-07-21,1.348000,1.348000,1.393333,1.300000,1.377333,18787500
2010-07-22,1.400000,1.400000,1.416667,1.358000,1.366667,14367000
2010-07-23,1.419333,1.419333,1.437333,1.404000,1.412667,9804000
2010-07-26,1.396667,1.396667,1.433333,1.353333,1.433333,13833000
2010-07-27,1.370000,1.370000,1.412000,1.350667,1.394000,9295500
2010-07-28,1.381333,1.381333,1.393333,1.367333,1.370000,7008000
2010-07-29,1.356667,1.356667,1.392000,1.333333,1.384667,9240000
2010-07-30,1.329333,1.329333,1.362667,1.303333,1.346667,6403500
2010-08-02,1.394667,1.394667,1.398000,1.355333,1.366667,10771500
2010-08-03,1.463333,1.463333,1.463333,1.388000,1.400000,18457500
2010-08-04,1.417333,1.417333,1.478667,1.390000,1.463333,13695000
2010-08-05,1.363333,1.363333,1.436667,1.336667,1.436000,11943000
2010-08-06,1.306000,1.306000,1.344000,1.301333,1.340000,11128500
2010-08-09,1.306667,1.306667,1.332000,1.296667,1.326667,12190500
2010-08-10,1.268667,1.268667,1.310000,1.254667,1.310000,19219500
2010-08-11,1.193333,1.193333,1.258667,1.190000,1.246000,11964000
2010-08-12,1.173333,1.173333,1.193333,1.159333,1.186667,10365000
2010-08-13,1.221333,1.221333,1.230000,1.177333,1.212000,9510000
2010-08-16,1.252000,1.252000,1.253333,1.217333,1.230000,7287000
2010-08-17,1.276667,1.276667,1.293333,1.252000,1.264000,6718500
2010-08-18,1.251333,1.251333,1.306000,1.240000,1.306000,9019500
2010-08-19,1.252667,1.252667,1.283333,1.222000,1.236000,8686500
2010-08-20,1.273333,1.273333,1.274000,1.234000,1.243333,4440000
2010-08-23,1.342000,1.342000,1.359333,1.266667,1.272667,16321500
2010-08-24,1.280000,1.280000,1.314000,1.263333,1.283333,10096500
2010-08-25,1.326667,1.326667,1.332000,1.237333,1.277333,7549500
2010-08-26,1.316667,1.316667,1.351333,1.306667,1.326000,6507000
2010-08-27,1.313333,1.313333,1.324667,1.300000,1.316667,5694000
2010-08-30,1.324667,1.324667,1.346000,1.307333,1.313333,10992000
2010-08-31,1.298667,1.298667,1.319333,1.288667,1.310667,3016500
2010-09-01,1.363333,1.363333,1.379333,1.306667,1.308000,7423500
2010-09-02,1.404000,1.404000,1.416000,1.354000,1.358000,7306500
2010-09-03,1.403333,1.403333,1.420000,1.377333,1.391333,6519000
2010-09-07,1.369333,1.369333,1.400000,1.366667,1.374000,3651000
2010-09-08,1.393333,1.393333,1.396667,1.373333,1.377333,4326000
2010-09-09,1.380667,1.380667,1.403333,1.379333,1.400000,5643000
2010-09-10,1.344667,1.344667,1.395333,1.317333,1.383333,5799000
2010-09-13,1.381333,1.381333,1.393333,1.366667,1.392667,5412000
2010-09-14,1.408000,1.408000,1.440000,1.368667,1.369333,9820500
2010-09-15,1.465333,1.465333,1.466667,1.386000,1.398667,10269000
2010-09-16,1.396000,1.396000,1.544000,1.389333,1.476667,40267500
2010-09-17,1.348667,1.348667,1.421333,1.320000,1.401333,17977500
2010-09-20,1.404000,1.404000,1.423333,1.344000,1.378000,14212500
2010-09-21,1.384667,1.384667,1.436667,1.378000,1.392667,11940000
2010-09-22,1.324667,1.324667,1.396667,1.320000,1.391333,14443500
2010-09-23,1.304000,1.304000,1.342667,1.300000,1.326000,10021500
2010-09-24,1.340000,1.340000,1.346000,1.310000,1.330000,8683500
2010-09-27,1.368667,1.368667,1.387333,1.336667,1.360000,6279000
2010-09-28,1.426667,1.426667,1.432667,1.384000,1.402667,18217500
2010-09-29,1.465333,1.465333,1.468667,1.408667,1.412667,29539500
2010-09-30,1.360667,1.360667,1.476667,1.346000,1.466667,32937000
2010-10-01,1.373333,1.373333,1.383333,1.354000,1.379333,8965500
2010-10-04,1.399333,1.399333,1.411333,1.353333,1.362000,9654000
2010-10-05,1.408000,1.408000,1.418667,1.400667,1.410000,4980000
2010-10-06,1.364000,1.364000,1.417333,1.354667,1.404000,4701000
2010-10-07,1.362000,1.362000,1.376000,1.356000,1.371333,2115000
2010-10-08,1.362000,1.362000,1.386000,1.359333,1.362000,4017000
2010-10-11,1.349333,1.349333,1.380000,1.338000,1.362667,2568000
2010-10-12,1.349333,1.349333,1.352000,1.335333,1.346667,3660000
2010-10-13,1.369333,1.369333,1.390000,1.357333,1.376000,4773000
2010-10-14,1.383333,1.383333,1.402000,1.360000,1.400000,4422000
2010-10-15,1.369333,1.369333,1.393333,1.350000,1.392667,4270500
2010-10-18,1.348667,1.348667,1.376000,1.348000,1.368000,2442000
2010-10-19,1.336667,1.336667,1.360667,1.333333,1.346667,3678000
2010-10-20,1.376667,1.376667,1.379333,1.336000,1.344000,4687500
2010-10-21,1.383333,1.383333,1.396667,1.363333,1.374000,6256500
2010-10-22,1.381333,1.381333,1.395333,1.370000,1.378667,2416500
2010-10-25,1.390000,1.390000,1.398667,1.382000,1.396000,1777500
2010-10-26,1.424000,1.424000,1.458000,1.367333,1.386667,9913500
2010-10-27,1.400000,1.400000,1.425333,1.376667,1.416667,5347500
2010-10-28,1.412667,1.412667,1.433333,1.397333,1.426000,3363000
2010-10-29,1.456000,1.456000,1.456667,1.403333,1.409333,4209000
2010-11-01,1.427333,1.427333,1.516667,1.420667,1.462667,6837000
2010-11-02,1.416667,1.416667,1.458667,1.403333,1.445333,4837500
2010-11-03,1.451333,1.451333,1.500000,1.410667,1.418667,5589000
2010-11-04,1.660000,1.660000,1.688667,1.476667,1.506667,28110000
2010-11-05,1.629333,1.629333,1.664667,1.581333,1.658000,15165000
2010-11-08,1.665333,1.665333,1.666667,1.602000,1.633333,7642500
2010-11-09,1.642000,1.642000,1.712667,1.603333,1.666667,14346000
2010-11-10,1.957333,1.957333,1.998000,1.603333,1.632000,45907500
2010-11-11,1.869333,1.869333,1.940000,1.822000,1.906667,29179500
2010-11-12,1.989333,1.989333,2.033333,1.871333,1.883333,40936500
2010-11-15,2.053333,2.053333,2.196000,2.014667,2.014667,39343500
2010-11-16,1.978000,1.978000,2.093333,1.894667,2.066667,20214000
2010-11-17,1.966000,1.966000,2.050000,1.907333,2.013333,11250000
2010-11-18,1.992667,1.992667,2.049333,1.928000,2.044667,14341500
2010-11-19,2.066000,2.066000,2.091333,1.980000,2.010667,17257500
2010-11-22,2.226667,2.226667,2.230000,2.100000,2.104667,22945500
2010-11-23,2.304667,2.304667,2.378667,2.146000,2.219333,23667000
2010-11-24,2.364667,2.364667,2.398000,2.288667,2.351333,21375000
2010-11-26,2.354667,2.354667,2.400000,2.316667,2.373333,5259000
2010-11-29,2.288667,2.288667,2.396667,2.222000,2.360667,17184000
2010-11-30,2.355333,2.355333,2.355333,2.227333,2.249333,33339000
2010-12-01,2.290000,2.290000,2.428000,2.230000,2.391333,19488000
2010-12-02,2.156667,2.156667,2.286667,2.080000,2.267333,30105000
2010-12-03,2.099333,2.099333,2.150000,2.058000,2.134000,17401500
2010-12-06,2.020667,2.020667,2.096667,1.970667,2.090000,19116000
2010-12-07,2.104000,2.104000,2.160000,2.003333,2.032667,19669500
2010-12-08,2.158000,2.158000,2.166000,2.101333,2.165333,9900000
2010-12-09,2.136667,2.136667,2.181333,2.110000,2.167333,6090000
2010-12-10,2.101333,2.101333,2.194667,2.075333,2.136667,6441000
2010-12-13,2.036667,2.036667,2.118000,2.026667,2.109333,6156000
2010-12-14,1.902000,1.902000,2.026000,1.850667,2.019333,26485500
2010-12-15,1.973333,1.973333,1.998000,1.902000,1.911333,11143500
2010-12-16,2.054000,2.054000,2.060667,1.976667,2.000000,11851500
2010-12-17,2.090667,2.090667,2.102667,2.047333,2.089333,12195000
2010-12-20,2.113333,2.113333,2.146000,2.084000,2.109333,7851000
2010-12-21,2.150667,2.150667,2.179333,2.114000,2.120000,11665500
2010-12-22,2.175333,2.175333,2.190667,2.113333,2.150000,12499500
2010-12-23,2.006000,2.006000,2.165333,1.994667,2.084000,23289000
2010-12-27,1.703333,1.703333,1.905333,1.670667,1.868000,139528500
2010-12-28,1.760667,1.760667,1.783333,1.666667,1.723333,60844500
2010-12-29,1.848667,1.848667,1.867333,1.766667,1.802000,49788000
2010-12-30,1.766667,1.766667,1.860000,1.758667,1.846667,30616500
2010-12-31,1.775333,1.775333,1.816667,1.766667,1.771333,21268500
2011-01-03,1.774667,1.774667,1.800000,1.726667,1.789333,19245000
2011-01-04,1.778000,1.778000,1.796667,1.734667,1.777333,17811000
2011-01-05,1.788667,1.788667,1.793333,1.746000,1.765333,21700500
2011-01-06,1.858667,1.858667,1.866667,1.787333,1.788667,30918000
2011-01-07,1.882667,1.882667,1.905333,1.860000,1.866667,33718500
2011-01-10,1.896667,1.896667,1.912000,1.870000,1.878000,20140500
2011-01-11,1.797333,1.797333,1.914000,1.794667,1.906000,25653000
2011-01-12,1.797333,1.797333,1.826667,1.768000,1.800667,14466000
2011-01-13,1.748000,1.748000,1.798000,1.744000,1.797333,10854000
2011-01-14,1.716667,1.716667,1.772000,1.707333,1.743333,17880000
2011-01-18,1.709333,1.709333,1.709333,1.650000,1.698667,24325500
2011-01-19,1.602000,1.602000,1.698000,1.583333,1.684667,35572500
2011-01-20,1.508000,1.508000,1.630000,1.491333,1.602000,34198500
2011-01-21,1.536000,1.536000,1.572667,1.514000,1.541333,18255000
2011-01-24,1.632667,1.632667,1.654000,1.548667,1.568667,24676500
2011-01-25,1.645333,1.645333,1.659333,1.601333,1.643333,19072500
2011-01-26,1.650000,1.650000,1.658667,1.606667,1.647333,16198500
2011-01-27,1.661333,1.661333,1.672000,1.635333,1.649333,13435500
2011-01-28,1.600667,1.600667,1.658667,1.583333,1.658667,15726000
2011-01-31,1.606667,1.606667,1.608000,1.566667,1.603333,12454500
2011-02-01,1.594000,1.594000,1.648667,1.569333,1.620667,10617000
2011-02-02,1.596000,1.596000,1.612000,1.578000,1.610667,8542500
2011-02-03,1.575333,1.575333,1.593333,1.543333,1.588000,7680000
2011-02-04,1.564000,1.564000,1.578000,1.548000,1.562667,8160000
2011-02-07,1.538000,1.538000,1.550667,1.525333,1.550667,13426500
2011-02-08,1.632667,1.632667,1.683333,1.533333,1.585333,52573500
2011-02-09,1.547333,1.547333,1.612000,1.519333,1.608667,39534000
2011-02-10,1.548000,1.548000,1.576000,1.520667,1.550667,12541500
2011-02-11,1.550000,1.550000,1.583333,1.529333,1.550000,9517500
2011-02-14,1.538667,1.538667,1.609333,1.536667,1.576000,19246500
