date,open,high,low,close,adj_close,volume,log_return_1d
2010-01-04,6.422877,6.455077,6.391279,6.440331,6.440331,493729600,
2010-01-05,6.458086,6.487879,6.417459,6.451466,6.451466,601904800,0.001727
2010-01-06,6.451466,6.477045,6.342226,6.348846,6.348846,552160000,-0.016034
2010-01-07,6.372319,6.379842,6.291066,6.337109,6.337109,477131200,-0.001850
2010-01-08,6.328684,6.379844,6.291368,6.379241,6.379241,447610800,0.006626
2010-01-11,6.403918,6.409937,6.273011,6.322967,6.322967,462229600,-0.008861
2010-01-12,6.295279,6.312734,6.211920,6.251041,6.251041,594459600,-0.011441
2010-01-13,6.255558,6.347644,6.142106,6.339218,6.339218,605892000,0.014007
2010-01-14,6.322967,6.333499,6.290164,6.302503,6.302503,432894000,-0.005809
2010-01-15,6.347641,6.367805,6.195368,6.197174,6.197174,594067600,-0.016853
2010-01-18,6.347641,6.367805,6.195368,6.197174,6.197174,594067600,0.000000
2010-01-19,6.269400,6.475842,6.236598,6.471328,6.471328,730007600,0.043288
2010-01-20,6.467416,6.486676,6.304610,6.371719,6.371719,612152800,-0.015512
2010-01-21,6.382250,6.419265,6.235694,6.261574,6.261574,608154400,-0.017438
2010-01-22,6.222755,6.244422,5.933255,5.951010,5.951010,881767600,-0.050871
2010-01-25,6.094254,6.160159,6.024437,6.111107,6.111107,1065699600,0.026547
2010-01-26,6.197776,6.431302,6.096361,6.197475,6.197475,1867110000,0.014034
2010-01-27,6.224859,6.337108,6.004574,6.255856,6.255856,1722568400,0.009376
2010-01-28,6.167081,6.184235,5.979598,5.997353,5.997353,1173502400,-0.042200
2010-01-29,6.051219,6.084924,5.725306,5.779775,5.779775,1245952400,-0.036953
2010-02-01,5.789106,5.898346,5.756906,5.860127,5.860127,749876400,0.013807
2010-02-02,5.895637,5.907975,5.819500,5.894132,5.894132,698342400,0.005786
2010-02-03,5.873368,6.024739,5.850798,5.995548,5.995548,615328000,0.017060
2010-02-04,5.920313,5.969667,5.765031,5.779476,5.779476,757652000,-0.036704
2010-02-05,5.796928,5.898344,5.743361,5.882093,5.882093,850306800,0.017600
2010-02-08,5.889017,5.954921,5.838158,5.841769,5.841769,478270800,-0.006879
2010-02-09,5.910986,5.943487,5.860730,5.904065,5.904065,632886800,0.010607
2010-02-10,5.895036,5.916403,5.845984,5.871864,5.871864,370361600,-0.005469
2010-02-11,5.864640,6.011197,5.839963,5.978695,5.978695,550345600,0.018030
2010-02-12,5.961841,6.068072,5.883297,6.030154,6.030154,655468800,0.008570
2010-02-15,5.961841,6.068072,5.883297,6.030154,6.030154,655468800,0.000000
2010-02-16,6.077101,6.129765,6.064462,6.121038,6.121038,543737600,0.014959
2010-02-17,6.144813,6.148425,6.044601,6.095460,6.095460,436396800,-0.004187
2010-02-18,6.067773,6.135785,6.046407,6.106895,6.106895,422825200,0.001874
2010-02-19,6.074693,6.115018,6.052123,6.068975,6.068975,415469600,-0.006229
2010-02-22,6.089138,6.093953,5.994343,6.031358,6.031358,390563600,-0.006218
2010-02-23,6.018719,6.058743,5.889618,5.930244,5.930244,575094800,-0.016907
2010-02-24,5.965454,6.062055,5.953717,6.038582,6.038582,460566400,0.018104
2010-02-25,5.939875,6.104787,5.925129,6.078907,6.078907,665126000,0.006656
2010-02-26,6.090343,6.174304,6.078907,6.157752,6.157752,507460800,0.012887
2010-03-01,6.191757,6.304608,6.182729,6.289261,6.289261,550093600,0.021132
2010-03-02,6.317549,6.344633,6.251644,6.285048,6.285048,566546400,-0.000670
2010-03-03,6.287757,6.315744,6.257664,6.299493,6.299493,372052800,0.002296
2010-03-04,6.297988,6.347342,6.278427,6.341022,6.341022,366041200,0.006571
2010-03-05,6.468316,6.611561,6.458986,6.588991,6.588991,899620400,0.038360
2010-03-08,6.620893,6.623300,6.567928,6.592906,6.592906,429889600,0.000594
2010-03-09,6.569735,6.771060,6.557095,6.711475,6.711475,920259200,0.017825
2010-03-10,6.735849,6.785503,6.716890,6.766243,6.766243,596218000,0.008127
2010-03-11,6.738258,6.786106,6.720502,6.786106,6.786106,405700400,0.002931
2010-03-12,6.842382,6.853216,6.793631,6.819210,6.819210,416323600,0.004866
2010-03-15,6.782495,6.786106,6.628114,6.736151,6.736151,493502800,-0.012255
2010-03-16,6.746384,6.770458,6.696127,6.754508,6.754508,446908000,0.002721
2010-03-17,6.768050,6.814695,6.718997,6.744577,6.744577,450956800,-0.001471
2010-03-18,6.743975,6.771060,6.699136,6.760527,6.760527,342109600,0.002362
2010-03-19,6.764740,6.778282,6.657606,6.688302,6.688302,559445600,-0.010741
2010-03-22,6.634735,6.801152,6.625104,6.763535,6.763535,456419600,0.011186
2010-03-23,6.790320,6.884814,6.743976,6.872175,6.872175,602431200,0.015935
2010-03-24,6.850506,6.927546,6.846593,6.902568,6.902568,597780400,0.004413
2010-03-25,6.949213,6.950717,6.808675,6.820713,6.820713,542284400,-0.011930
2010-03-26,6.889930,6.980211,6.877892,6.948613,6.948613,640875200,0.018578
2010-03-29,7.011808,7.037990,6.970279,6.993451,6.993451,540744400,0.006432
2010-03-30,7.120146,7.146629,7.049426,7.097576,7.097576,527310000,0.014779
2010-03-31,7.086740,7.120445,7.055743,7.071994,7.071994,430659600,-0.003611
2010-04-01,7.144519,7.184242,7.004282,7.101184,7.101184,603145200,0.004119
2010-04-02,7.144519,7.184242,7.004282,7.101184,7.101184,603145200,0.000000
2010-04-05,7.071393,7.177624,7.065074,7.177022,7.177022,684507600,0.010623
2010-04-06,7.168297,7.229688,7.132185,7.208622,7.208622,447017200,0.004393
